Date,Currency_pair,Prediction_action,Day Open,Day Close,Day High,Day Low,Day Average,Momentum_3day,Momentum_4day,Momentum_5day,Momentum_8day,Momentum_9day,Momentum_10day,Roc_3day,Roc_4day,Roc_5day,Roc_8day,Roc_9day,Roc_10day,Fast_k_3day,Fast_d_3day,Fast_k_4day,Fast_d_4day,Fast_k_5day,Fast_d_5day,Fast_k_8day,Fast_d_8day,Fast_k_9day,Fast_d_9day,Fast_k_10day,Fast_d_10day,PROC_12day,PROC_13day,PROC_14day,PROC_15day,Weighted_Close_Price,WILLIAM_A_D,ADOSC_1day,ADOSC_2day,ADOSC_3day,ADOSC_4day,ADOSC_5day,EMA_12Day,EMA_26Day,MACD,CCI,BOLLINGER_BANDS_LOW,BOLLINGER_BANDS_HIGH,HEIKIN_ASHI_XCLOSE,HEIKIN_ASHI_XOPEN,HEIKIN_ASHI_XHIGH,HEIKIN_ASHI_XLOW,2DAY_HIGH,2DAY_LOW,1DAY_HIGH_LOW_AVG,2DAY_HIGH_LOW_AVG,High_slope_3day,High_slope_4day,High_slope_5day,High_slope_8day,High_slope_10day,High_slope_12day,High_slope_15day,High_slope_20day,High_slope_25day,High_slope_30day,Pips,Prediction_Pips,Volume¥n'2012-01-01', ' USD_JPY', 'sell', ' 76.964', ' 77.04', ' 77.19', ' 76.325', ' 76.88694050480768', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 82.65894998162517, 82.65894998162517, 82.65894998162517, 82.65894998162517, 82.65894998162517, 82.65894998162517, 82.65894998162517, 82.65894998162517, 82.65894998162517, 82.65894998162517, 82.65894998162517, 82.65894998162517, 0.0, 0.0, 0.0, 0.0, 76.89875, 0.0, 1086, 0, 0, 0, 0, 77.04, 77.04, 0.0, 0.0, 76.325, 77.19, 76.87975, 77.00200000000001, 77.19, 76.325, 77.19, 76.325, 115.35249999999999, 76.7575, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.600000000000762, -9.300000000001774, ' 1664.'
'2012-01-13', ' USD_JPY', 'hold', ' 76.79050000000001', ' 76.967', ' 77.00550000000001', ' 76.6635', ' 76.84801953069108', 0.10500000000000398, 0.0905000000000058, 0.024999999999991473, 0.2424999999999926, 0.23000000000000398, 0.017000000000010118, 0.0013660846712290078, 0.0011772128023518995, 0.0003249200696627521, 0.0031606592418326946, 0.002997250348593299, 0.00022092267706315947, 146.89911093092877, 101.83275809222852, 81.68417613297567, 97.33263009209799, 72.38490695192122, 100.32273133860855, 160.8596557196066, 71.40812720466388, 100.88885899589364, 104.78585776464415, 41.05689387931188, 41.05689387931188, 0.0, 0.0, 0.0, 0.0, 76.90075, 0.08449999999997715, 5415, -1468, -3740, 1763, -566, 76.90895833333333, 76.90895833333333, 0.0, 0.0, 76.6635, 77.00550000000001, 76.85662500000001, 76.8325, 77.00550000000001, 76.6635, 77.00550000000001, 76.6635, 115.33725000000001, 76.830375, 0.02475000000000449, -0.0009999999999990906, -0.004583333333331534, 0.019222222222222425, -0.00968181818181661, -0.015374999999998806, -0.015374999999998806, -0.015374999999998806, -0.015374999999998806, -0.015374999999998806, 17.64999999999901, 2.2999999999996135, ' 6989.'
'2012-01-15', ' USD_JPY', 'sell', ' 76.908', ' 76.931', ' 77.13300000000001', ' 76.88499999999999', ' 76.98319218910586', 0.05749999999999034, 0.06900000000000261, 0.054500000000004434, -0.24250000000000682, 0.20649999999999125, 0.19400000000000261, 0.0007479820744468553, 0.0008977127839504907, 0.0007089292566649683, -0.0031422703389117615, 0.002691447972942036, 0.002528115511422164, 45.85363616895922, 69.23252302255213, 118.99215582003818, 82.8244578296568, 66.52628777840249, 77.1240265891333, 46.44994928144461, 31.819920184672082, 144.57007033027838, 60.9025597120806, 90.22219548971965, 93.74740503381422, -0.0014148494288682356, 0.0, 0.0, 0.0, 76.97, 0.228999999999985, -612, 5415, -1468, -3740, 1763, 11.841076923076924, 76.91065384615385, -65.06957692307692, 0.0, 76.88499999999999, 77.13300000000001, 76.96424999999999, 76.87875, 77.13300000000001, 76.87875, 77.13300000000001, 76.6635, 115.5755, 76.92175, 0.022750000000002046, 0.045300000000003136, 0.020416666666667044, -0.012333333333332221, 0.015363636363637377, -0.004384615384614458, -0.004384615384614458, -0.004384615384614458, -0.004384615384614458, -0.004384615384614458, 2.2999999999996135, -9.749999999999659, ' 973.'
'2012-01-16', ' USD_JPY', 'hold', ' 76.928', ' 76.8305', ' 76.936', ' 76.70249999999999', ' 76.8033193886463', 0.03700000000000614, -0.043000000000006366, -0.03149999999999409, -0.13750000000000284, -0.3430000000000035, 0.10599999999999454, 0.00048181161165992097, -0.0005593605078473904, -0.00040982540136860984, -0.0017864567092818163, -0.00444453082988336, 0.0013815665139557056, 51.36434948174946, 26.072982323393777, -3.1707301606135836, 32.34133813332211, 41.085239468807465, 29.75961959664778, -33.62719555989938, 1.9517602330819308, 29.255769160688736, 3.6335112460152748, 99.09497778507362, 31.574517128620993, -0.0015529564652370107, -0.002719366562824579, 0.0, 0.0, 76.82487499999999, 0.3955000000000126, 551, -612, 5415, -1468, -3740, 11.835538461538462, 76.90492857142858, -65.06939010989012, 0.0, 76.70249999999999, 76.936, 76.84925, 76.9195, 76.936, 76.70249999999999, 77.13300000000001, 76.70249999999999, 115.28725, 76.914125, -0.011499999999998067, -0.021199999999998907, 0.004916666666668827, -0.04722222222222191, 0.009409090909090619, -0.013538461538460594, -0.01814285714285648, -0.01814285714285648, -0.01814285714285648, -0.01814285714285648, -9.749999999999659, -0.49999999999954525, ' 5725.'
'2012-01-17', ' USD_JPY', 'hold', ' 76.82849999999999', ' 76.8235', ' 76.87950000000001', ' 76.5535', ' 76.76519751767222', -0.14350000000000307, 0.030000000000001137, -0.05000000000001137, -0.1185000000000116, -0.14450000000000784, -0.3500000000000085, -0.0018644354073824247, 0.000390658063507994, -0.0006504191951714357, -0.001540121130202121, -0.0018774035962998627, -0.00453523554069737, 46.78361205157265, 24.601780413679887, 49.11715919192127, 23.700798048689716, -6.585362641282898, 29.771802867403675, 12.343091069835626, 23.088375699265686, -35.39041929712385, -0.5947264284858029, 28.058164575162554, 1.6702787826247771, 0.001127226761536168, -0.0016439246263806754, -0.002810228452751954, 0.0, 76.77, 0.39800000000001035, 3993, 551, -612, 5415, -1468, 11.820076923076924, 76.8995, -65.07942307692308, 0.0, 76.5535, 76.87950000000001, 76.77125, 76.87925, 76.87950000000001, 76.5535, 76.936, 76.5535, 115.15625, 76.767875, -0.031500000000001194, -0.02049999999999841, -0.027083333333332387, -0.017055555555554887, -0.03313636363636296, -0.006499999999999335, -0.020699999999999365, -0.020699999999999365, -0.020699999999999365, -0.020699999999999365, -0.49999999999954525, -2.9999999999986926, ' 6083.'
'2012-01-18', ' USD_JPY', 'buy', ' 76.8205', ' 76.79050000000001', ' 76.8735', ' 76.6585', ' 76.77272281979148', -0.14049999999998875, -0.1764999999999901, -0.002999999999985903, -0.08599999999998431, -0.15149999999999864, -0.17749999999999488, -0.0018263118898751967, -0.002293190588174024, -3.906580635061435e-05, -0.001118677359140756, -0.0019690156221569316, -0.0023061532065273213, -38.104823344819245, 24.09396362822262, 37.13449206593938, 12.239006249319052, 38.523262111314374, 12.517643610811502, 7.368417950144723, -1.7456620821501392, -1.4644345337044742, 5.327164994755173, -43.70275977260146, -12.599592118720404, 0.0008602206596328747, 0.0006971864941294796, -0.00207277452891462, -0.003238577362409107, 76.77825000000001, 0.507000000000005, 1377, 3993, 551, -612, 5415, 11.819, 76.89268750000001, -65.0736875, 0.0, 76.6585, 76.8735, 76.78575000000001, 76.826, 76.8735, 76.6585, 76.87950000000001, 76.5535, 115.20275000000001, 76.74125000000001, -0.06487500000000068, -0.026400000000001, -0.018083333333332046, -0.015222222222222272, -0.04431818181818156, 0.003153846153845909, -0.019781249999999417, -0.019781249999999417, -0.019781249999999417, -0.019781249999999417, -2.9999999999986926, 28.84999999999991, ' 6043.'
'2012-01-19', ' USD_JPY', 'hold', ' 76.7935', ' 77.082', ' 77.32', ' 76.7005', ' 76.98211876276628', 0.25149999999999295, 0.15099999999999625, 0.11499999999999488, 0.21999999999999886, 0.20550000000000068, 0.13999999999998636, 0.003273439584539902, 0.0019627978318232735, 0.001494146842153064, 0.002862272644479702, 0.00267311857329614, 0.001819552390111855, 162.52669699069665, 173.8732880826226, 79.43545184053866, 134.69288783980514, 122.36838527239573, 121.44351136787702, 236.04632864626635, 162.55371726432767, 130.10520837674707, 161.88789128211874, 120.50204163094136, 162.21785955131827, -0.0011856401484967064, 0.004659528573011065, 0.004495875522889856, 0.0017153996101365175, 77.04612499999999, -0.000999999999990564, 1587, 1377, 3993, 551, -612, 11.813923076923079, 76.90382352941178, -65.0899004524887, 0.0, 76.7005, 77.32, 76.97399999999999, 76.8055, 77.32, 76.7005, 77.32, 76.6585, 115.67025, 76.888125, 0.09599999999999653, 0.03739999999999668, 0.052416666666663524, 0.04594444444444434, 0.026090909090908356, 0.005846153846153339, 0.0129999999999999, 0.007647058823529144, 0.007647058823529144, 0.007647058823529144, 28.84999999999991, -4.999999999999716, ' 6854.'
'2012-01-20', ' USD_JPY', 'hold', ' 77.08', ' 77.03', ' 77.3055', ' 76.9185', ' 77.12976321928461', 0.20650000000000546, 0.19950000000000045, 0.09900000000000375, 0.1564999999999941, 0.16800000000000637, 0.15350000000000819, 0.002687979589578781, 0.00259662503823352, 0.0012868674526524257, 0.002035812080886054, 0.0021857354739664124, 0.001996709007304029, 146.16559933570275, 124.04808764657264, 140.25689924757452, 153.07103862998767, 58.46771835979066, 114.9634056476893, 94.14629553839255, 105.57309321194545, 195.73628237498727, 135.09728355172905, 108.21048075347872, 132.6976862222862, 0.0008055295707306622, -0.0018594465716859163, 0.003981778962391348, 0.003818236313642785, 77.071, 0.09149999999999636, -2724, 1587, 1377, 3993, 551, 11.85876923076923, 76.91083333333334, -65.05206410256412, 0.0, 76.9185, 77.3055, 77.0835, 76.93775, 77.3055, 76.9185, 77.32, 76.7005, 115.76474999999999, 77.061125, 0.10649999999999693, 0.07389999999999759, 0.028749999999997538, 0.029277777777777046, 0.026818181818180683, -0.004269230769231478, 0.021343749999999773, 0.006416666666666515, 0.006416666666666515, 0.006416666666666515, -4.999999999999716, 0.0, ' 6430.'
'2012-01-21', ' USD_JPY', 'hold', ' 77.03', ' 77.03', ' 77.03', ' 77.03', ' 77.03', 0.2394999999999925, 0.20650000000000546, 0.19950000000000045, 0.2365000000000066, 0.1564999999999941, 0.16800000000000637, 0.003118875381720297, 0.002687979589578781, 0.00259662503823352, 0.0030796877339879887, 0.002035812080886054, 0.0021857354739664124, 172.79061730668573, 84.93000855608814, 146.16559933570275, 124.04808764657264, 140.25689924757452, 153.07103862998767, 115.40927274180733, 93.6802341524115, 94.14629553839255, 105.57309321194545, 195.73628237498727, 135.09728355172905, 0.0011437186452131977, 0.0008055295707306622, -0.0018594465716859163, 0.003981778962391348, 77.03, 0.3294999999999959, 0, -2724, 1587, 1377, 3993, 11.850769230769231, 76.91710526315791, -65.06633603238868, 0.0, 77.03, 77.03, 77.03, 77.055, 77.055, 77.03, 77.3055, 76.9185, 115.545, 77.071, 0.03912499999999852, 0.030099999999998774, 0.01566666666666568, 0.005333333333333535, 0.011227272727273368, -0.00023076923076923952, 0.012343749999999432, -0.008421052631578769, -0.008421052631578769, -0.008421052631578769, 0.0, -5.400000000000205, ' 1.'
'2012-01-22', ' USD_JPY', 'hold', ' 77.03', ' 76.976', ' 77.10900000000001', ' 76.92099999999999', ' 76.97620177902623', -0.10599999999999454, 0.18549999999999045, 0.1525000000000034, 0.009000000000000341, 0.18250000000000455, 0.10249999999999204, -0.0013751589216677636, 0.002415663395862645, 0.0019850696726913435, 0.00011693323112503204, 0.0023765032196735995, 0.0013333593501010366, 44.47134068259218, -17999980.22359469, 147.67434991890255, 69.00118929973401, 129.60118723889642, 107.24895928013039, 91.37424228822978, 81.73278223385593, 98.07380479171586, 75.38052689042108, 67.8048449732471, 85.75096401773091, 0.0012942836887736323, 0.00044189129474138714, 0.0001039392994490641, -0.002559168626536377, 76.99549999999999, 0.05500000000000682, -443, 0, -2724, 1587, 1377, 11.850769230769231, 76.92005000000002, -65.06928076923079, 62.9870871900414, 76.72626000000002, 77.11384000000001, 77.009, 77.03, 77.10900000000001, 76.92099999999999, 77.10900000000001, 76.92099999999999, 115.5695, 77.02250000000001, -0.05274999999999608, 0.047100000000000364, 0.03825000000000026, 0.011499999999999646, 0.006090909090909752, 0.0075769230769231815, -0.008437499999999432, -0.004049999999999443, -0.004049999999999443, -0.004049999999999443, -5.400000000000205, 2.6500000000012847, ' 1068.'
'2012-01-23', ' USD_JPY', 'buy', ' 76.979', ' 77.00550000000001', ' 77.0815', ' 76.869', ' 76.98566952216284', -0.024499999999989086, -0.07649999999998158, 0.2150000000000034, 0.07450000000001467, 0.0385000000000133, 0.2120000000000175, -0.000318057899519526, -0.0009924495991279624, 0.002799825499247998, 0.000968400254773949, 0.0005002143775905687, 0.0027606503154566143, 22.48061434609898, -8166644.190863379, 49.2332446758302, -8166642.762043356, 161.39527376964145, 77.70304426385688, 48.58869008521044, 105.66778423025293, 99.99997076024246, 92.78435307776344, 107.54410672741777, 85.37758919095688, 0.0018669823840131313, 0.0016780160387116884, 0.0008252969769437338, 0.0004872154661678688, 76.990375, -0.048499999999989996, 1811, -443, 0, -2724, 1587, 11.842461538461539, 76.92411904761906, -65.08165750915752, 46.89629997207034, 76.72764000000001, 77.10901000000001, 76.98375000000001, 77.003, 77.0815, 76.869, 77.10900000000001, 76.869, 115.516, 76.995125, -0.055999999999997385, -0.04769999999999754, 0.0346666666666664, -0.005722222222222702, 0.009045454545455104, 0.013461538461539337, -0.017468749999999922, -0.005166666666666299, -0.005166666666666299, -0.005166666666666299, 2.6500000000012847, 68.20000000000022, ' 6362.'
'2012-01-24', ' USD_JPY', 'buy', ' 77.0035', ' 77.6855', ' 77.85300000000001', ' 76.9605', ' 77.52602375809936', 0.6555000000000035, 0.6555000000000035, 0.603500000000011, 0.855000000000004, 0.7545000000000073, 0.7185000000000059, 0.00850967155653646, 0.00850967155653646, 0.007829324615344841, 0.011128393021000826, 0.009807489828547754, 0.009335169618148115, 655500000.0000036, 218500263.62794557, 198.19116325809972, 218500201.61329558, 158.99916723177586, 218500119.0634447, 420.9848304133194, 415.299394710838, 322.7821279104133, 363.6687052041095, 298.83032197942833, 347.5324267677203, 0.010562807729581684, 0.010714006921495796, 0.010523371901686625, 0.009663122871773509, 77.546125, -0.2710000000000008, 6362, 1811, -443, 0, -2724, 11.847000000000003, 76.95872727272729, -65.11172727272728, 295.66679945117096, 76.69078, 77.21942, 77.37562500000001, 76.99225000000001, 77.85300000000001, 76.9605, 77.85300000000001, 76.869, 116.33325, 77.191, 0.20575000000000188, 0.10950000000000273, 0.08883333333333591, 0.10188888888888907, 0.07704545454545424, 0.06238461538461593, 0.05125000000000046, 0.03528571428571495, 0.03013636363636413, 0.03013636363636413, 68.20000000000022, 9.000000000000341, ' 10186.'
